TOP_N,DEPENDENCY_FACTOR_0.8,METHOD_KNOWN,WITHOUT_SLICING,WTIHOUT_TREE,WITHOUT_METHODSCORE,WITHOUT_DEPENDENCY,DEPENDENCY_FACTOR_0.6,DEPENDENCY_FACTOR_0.4,DEPENDENCY_FACTOR_0.2
jacksondatabind_MAR,10.93981481,4.319444444,21.1882716,29.9702381,13.4058642,12.32098765,11.17746914,11.65333333,10.71
jacksondatabind_MFR,8.203703704,3.166666667,15.94444444,25.76785714,10.35185185,9.944444444,8.666666667,8.94,8.74
jacksondatabind_ExamScore,0.229000793,0.467125108,0.214373157,0.402034476,0.30281126,0.271961009,0.238182549,0.309091044,0.310681791
time_top1,0.25,0.416666667,0.083333333,0.333333333,0.083333333,0.25,0.25,0.25,0.166666667
time_top3,0.416666667,0.583333333,0.25,0.416666667,0.25,0.416666667,0.5,0.5,0.583333333
time_top5,0.5,0.666666667,0.416666667,0.583333333,0.333333333,0.583333333,0.666666667,0.75,0.666666667
time_top10,0.916666667,1,0.75,0.75,0.666666667,0.75,0.916666667,0.916666667,0.916666667
time_MAR,7.826388889,4.548611111,10.57986111,12.93402778,12.72916667,7.701388889,7.340277778,5.847222222,5.8125
time_MFR,5.125,3.458333333,7.208333333,5.125,9,5.875,4.583333333,4.583333333,4.5
time_ExamScore,0.179431649,0.498286783,0.195817203,0.209318699,0.280467053,0.217349706,0.169180634,0.174655611,0.182506035
cli_top1,0.375,0.625,0.25,0.125,0.375,0.125,0.375,0.375,0.375
cli_top3,0.625,0.875,0.75,0.25,0.625,0.5,0.5,0.5,0.625
cli_top5,0.75,0.875,0.875,0.25,0.75,0.625,0.625,0.625,0.75
cli_top10,0.875,0.875,1,0.25,0.875,0.875,0.75,0.75,0.75
cli_MAR,5.125,2.946428571,6.8125,25.62142857,5.696428571,6.428571429,6.017857143,6.303571429,5.732142857
cli_MFR,2.571428571,1.285714286,3,23.85714286,3.285714286,3.714285714,3.857142857,4.142857143,3.571428571
cli_ExamScore,0.220236032,0.266816152,0.091260879,0.638012942,0.240571486,0.272562583,0.256120071,0.270566647,0.258279569
mockito_top1,0.285714286,0.476190476,0.285714286,0.047619048,0.142857143,0.285714286,0.285714286,0.238095238,0.238095238
mockito_top3,0.428571429,0.666666667,0.333333333,0.333333333,0.238095238,0.428571429,0.428571429,0.380952381,0.380952381
mockito_top5,0.523809524,0.714285714,0.428571429,0.476190476,0.428571429,0.523809524,0.523809524,0.476190476,0.476190476
mockito_top10,0.619047619,0.761904762,0.523809524,0.666666667,0.619047619,0.619047619,0.666666667,0.619047619,0.619047619
mockito_MAR,7.015625,2.578125,12.97916667,14.36574074,9.6875,7.5625,6.453125,6.85,7.383333333
mockito_MFR,5.78125,1.90625,10.34375,11.41666667,7.375,5.90625,5.21875,5.466666667,5.4
mockito_ExamScore,0.437152546,0.614777022,0.410073407,0.424442087,0.526841808,0.466900519,0.432743561,0.47572849,0.477258052
TOTAL_top1,0.240196078,0.37745098,0.191176471,0.098039216,0.117647059,0.181372549,0.245098039,0.240196078,0.240196078
TOTAL_top3,0.397058824,0.637254902,0.318627451,0.264705882,0.274509804,0.367647059,0.416666667,0.401960784,0.397058824
TOTAL_top5,0.490196078,0.710784314,0.421568627,0.352941176,0.397058824,0.480392157,0.504901961,0.5,0.495098039
TOTAL_top10,0.656862745,0.803921569,0.598039216,0.460784314,0.573529412,0.62254902,0.651960784,0.642156863,0.617647059
TOTAL_MAR,11.22777778,4.673323471,20.07746011,22.49110504,14.32801724,11.75377551,11.32466281,10.81181373,10.78098802
TOTAL_MFR,7.982758621,3.100591716,14.27659574,17.2704918,10.25574713,8.705714286,8.170520231,7.85,8.02994012
TOTAL_ExamScore,0.358483078,0.547616548,0.289757657,0.415073146,0.438309269,0.3978326,0.367364066,0.381253843,0.405638974
